split,sentence1,sentence2,score
test,results from no. 2 u.s. soft drink maker pepsico inc . ( nyse : pep - news - people ) were likely to be in the spotlight .,wall street was also waiting for aluminum maker alcoa inc . ( nyse : pep - news - people ) to report earnings after the close .,2.0
test,microsoft acquired virtual pc when it bought the assets of connectix earlier this year .,"microsoft acquired virtual pc from its developer , connectix , earlier this year .",4.4
test,"taylor 's aides warn an abrupt departure could trigger more chaos , a view shared by many in liberia and , in private , even by mediators .","his aides warn an abrupt departure could trigger more bloodshed , a view shared by many in liberia .",3.6
test,"but odette is the first to form over the caribbean sea in december , the center said .",it is the first named storm to develop in the caribbean in december .,4.2
test,"leon williams ' body was found inside his third-floor apartment at 196 bay st. , in tompkinsville .","the dead man , leon williams , was found in his third-floor apartment .",3.4
test,it 's the first such drill since the september 11 terrorist attacks on new york and washington .,it is the nation 's first large-scale counterterrorism exercise since the sept . 11 terrorist attacks .,4.0
test,the afl-cio is waiting until october to decide if it will endorse a candidate .,the afl-cio announced wednesday that it will decide in october whether to endorse a candidate before the primaries .,4.0
test,"ursel reisen confirmed it operated the coach , but gave no details other than to say the passengers were of mixed ages .","ursel reisen confirmed it had been operating the coach , but declined to give details of the passengers other than to say they were of mixed ages .",4.8
test,"a total of 17 cases have been confirmed in the southern city of basra , the organization said .",a total of 17 confirmed cases of cholera were reported yesterday by the world health organisation in the southern iraqi city of basra .,3.6
test,he was also expected to visit yemen and bahrain during his tour of the region .,"khatami , who arrived in beirut monday , was also to visit syria , yemen and bahrain .",3.4
test,"general myers told reporters that "" at first blush , it doesn 't look like any rules were broken "" .",""" at first blush , it doesn 't look like any rules were broken , "" said gen. richard myers , chairman of the joint chiefs of staff .",3.6
test,"proving that the millville son 's sacrifice would not go unsung , mayor james quinn ordered all city flags flown at half-mast for the next 30 days .","in millville yesterday , mayor james quinn ordered all city flags flown at half-staff for the next 30 days .",3.4
test,"tom kasmer , a 14-year-old from belmont , n.c. , got a word that sounded like "" zistee "" during yesterday 's competition .","the 14-year-old national spelling finalist who attends school in belmont , n.c. , got a word that sounded like "" zistee "" during competition wednesday .",3.75
test,"tom kraynak , manager of operations and resources for the canton , ohio-based east central area reliability council , said that scenario is one among many that investigators are considering .","tom kraynak , manager of operations and resources for the canton , ohio-based east central area reliability council , said investigators are considering the scenario .",4.25
test,they found molecules that can only be produced when ozone breaks down cholesterol .,and all of the samples contained molecules that can only be produced when cholesterol interacts with ozone .,4.25
test,"it was developed with consultation from more than 300 leaders in academia , industry , government and the public .","the plan , called the nih roadmap , was developed over 14 months with help from more than 300 consultants in industry and academia .",3.25
test,it can store more than a gigabyte of information equivalent to around 12 hours of music in one cubic centimetre .,"and it can store more than a gigabyte of information - equivalent to 1,000 high quality images or around 12 hours of music - in just one cubic centimetre .",3.846
test,"earlier this month , rim had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share .",excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share .,1.2
test,the budget analysis comes as negotiations between the city council and the bloomberg administration heat up .,budget negotiations between the mayor and the city council are entering high gear .,3.2
test,"also at increased risk are those whose immune systems suppressed by medications or by diseases such as cancer , diabetes and aids .",also at increased risk are those with suppressed immune systems due to illness or medicines .,4.0
test,local police authorities are treating the explosion as a criminal matter and nothing has been ruled out .,acting new haven police chief francisco ortiz said police were treating the explosion as a criminal matter .,3.4
test,""" for me , the lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents , "" according to extracts released yesterday .",""" for me , the lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents , "" mrs clinton writes .",3.2
test,"in 2001 and 2002 , wire transfers from 4 of the company 's 40 accounts totaled more than $ 3.2 billion , prosecutors said .","wire transfers from four of the 40 accounts open at beacon hill totaled more than $ 3.2 billion from 2001 to 2002 , morgenthau said .",3.8
test,"stony brook university launched the study in 1996 , after earlier studies indicated a possible connection between electromagnetic fields and cancer .","the state university at stony brook launched the study in 1996 , after earlier studies indicated a possible connection .",3.2
test,"earlier , they had defied a police order and cried "" allahu akbar "" ( god is greatest ) as bashir walked to his seat in the tightly guarded courtroom .","earlier , bashir 's supporters had defied a police order and cried "" allahu akbar ( god is greatest ) "" as he walked to his seat .",4.0
test,metropolitan ambulance spokesman james howe said five people were taken to hospital and three were treated at the scene after yesterday 's incident .,"spokesman james howe said five children aged between 4 and 17 were taken to hospital with neck and chest injuries , while three others were treated at the scene .",3.333
test,chiron already has nearly 20 percent acceptances from powderject 's shareholders .,chiron has acceptances from holders of nearly 20 percent of powderject shares .,3.667
test,but it is clear that the joint intelligence committee was not involved .,this report was cleared by the joint intelligence committee .,2.0
test,"about 22 % of twentysomethings are obese , which is roughly 30 pounds over a healthy weight .",about 31 percent of americans are now obese — roughly 30 or more pounds over a healthy weight .,2.6
test,"coupling , an american version of a hit british comedy , will get the valuable thursday 9 : 30 p.m. time slot .","coupling , an american version of a hit british comedy , will couple with friends on thursdays .",3.0
test,shares of coke closed new york stock exchange trading thursday at $ 44.01 .,"in morning trading on the new york stock exchange , coca-cola shares were down 34 cents at $ 43.67 .",2.4
test,her body was found several weeks later in the green river .,"aug. 15 , 1982 : remains of chapman , hinds and mills are found in the green river .",2.6
test,""" i feel that people that are sending these messages are infringing on my rights and everyone else 's rights to use their computers , "" said mckechnie .","the people who are sending these messages are infringing on my rights and everyone else 's rights to use your computer , "" mckechnie said .",4.4
test,""" fighting continued until midnight , "" western rebel commander ousmane coulibaly told reuters by satellite phone on sunday .",""" they ransacked and burned the two villages completely , "" rebel commander ousmane coulibaly told reuters by satellite phone from the bush .",2.8
test,the reading for both august and july is the best seen since the survey began in august 1997 .,it is the highest reading since the index was created in august 1997 .,3.0
test,""" generally unwanted - and often pornographic or with fraudulent intent - spam is a nuisance and a distraction , "" gates writes , warming us up for the punchline .","generally unwanted — and often pornographic or with fraudulent intent — spam is a nuisance and a distraction , "" gates writes .",4.2
test,"us special forces troops are training colombian soldiers at military bases in the region to protect the pipeline , which transports crude from colombia 's second-biggest oil field .",u.s. special forces troops are training colombian soldiers at military bases in the region to protect the pipeline .,3.2
test,the retailer said it came to the decision after hearing the opinions of customers and associates .,"the decision came after "" listening to our customers and associates , "" melissa berryhill , a spokeswoman for wal-mart , said .",3.2
test,"lord falconer hailed the changes as "" a new beginning as far as the courts , crown prosecution service and police are concerned "" .",""" it 's a new beginning as far as the courts , crown prosecution service and police are concerned , making the criminal justice system work better . """,3.0
test,"we need a certifiable pay as you go budget by mid-july or schools wont open in september , strayhorn said .","texas lawmakers must close a $ 185.9 million budget gap by the middle of july or the schools wont open in september , comptroller carole keeton strayhorn said thursday .",2.6
test,shares of hartford rose $ 2.88 to $ 46.50 in new york stock exchange composite trading .,"shares of hartford were up $ 2.28 , or 5.2 percent , to $ 45.90 in midday trading .",2.5
test,the dvd-cca then appealed to the state supreme court .,the dvd cca appealed that decision to the u.s. supreme court .,4.5
test,""" we believe we are fully prepared to roll out the [ touch-screen ] machines for the 2004 presidential primary , "" said gilles w. burger , state board of elections chairman .",""" we believe we are fully prepared to roll out the revised diebold machines , "" said gilles w. burger , chairman of the maryland state board of elections .",3.75
test,country-music station kkcs has suspended two disc jockeys for playing songs by the dixie chicks in violation of a ban imposed after one group member criticized president george bush .,"a radio station has suspended two disc jockeys for locking themselves in the studio and continuously playing dixie chicks songs , violating the station 's two-month-old ban on the group 's music .",3.25
test,"the technology-laced nasdaq composite index < .ixic > jumped 26 points , or 1.78 percent , to 1,516 .","the broad standard & poor 's 500 index .spx was up 8.79 points , or 0.96 percent , at 929.06 .",0.8
test,business week 's online edition reported on friday that worldcom and the sec could announce a settlement as early as monday .,"businessweek online has learned that the settlement could come as early as monday , may 19 .",3.2
test,"sovereign 's shares lost 74 cents , or 4.5 % , to $ 15.68 .","sovereign shares closed on the new york stock exchange at $ 15.68 , down 74 cents , or 4.5 percent .",4.0
test,"aspen technology 's shares dropped 74 cents , or 23 percent , to close at $ 2.48 on the nasdaq .","in afternoon trading , aspen 's shares were off 89 cents or more than 27 percent at $ 2.33 per share .",2.2
test,the new law requires libraries and schools to use filters or lose federal financing .,the 6-3 ruling reinstates a law that told libraries to install filters or surrender federal money .,2.8
test,"in addition , it offered the united states and israel a way to work around mr. arafat .","when the prime minister 's position was established in the spring , it offered the united states and israel a way to work around arafat .",3.6
test,"and yes , marilyn monroe is definitely part of the story , titled "" arthur miller , elia kazan and the blacklist : none without sin . ""","note the subheading of this terrible parable in the "" american masters "" series , "" arthur miller , elia kazan and the blacklist : none without sin . """,2.6
test,"gilroy police and fbi agents described gehring as cooperative , but said saturday that he had revealed nothing about what had happened to the children .","saturday , officials in california described gehring as cooperative — but said he has revealed nothing about what has happened to the children .",3.8
test,"scribner 's body was found floating in the city 's portage bay , where he lived with his wife in a houseboat .","a kayaker found dr. scribner 's body floating near the doctor 's houseboat in portage bay , where he was eating lunch when his wife , ethel , left for an appointment .",3.2
test,"after protesters rushed the stage and twice cut power to the microphone , hedges drew the speech to an early close .","after protesters rushed the stage and twice cut power to the microphone , hedges cut his speech short .",5.0
test,"a passer-by found ben hiding along a dirt road in spanish fork canyon about 7 p.m. , with his hands still taped together but his feet free .","a passer-by found the boy hiding along a dirt road in spanish fork canyon about 7 p.m. thursday , with his feet free but his hands still taped .",4.0
test,"analysts expected earnings of 27 cents a share on revenue of $ 17.7 billion , thomson first call says .","hewlett-packard is putting in for a second-quarter profit of $ 659 million , or 29 cents a share , on revenue of $ 18 billion .",1.2
test,"doctors say one or both boys may die , and that some brain damage is possible if they survive .","doctors said that one or both of the boys may die and that if they survive , some brain damage is possible .",5.0
test,another was in serious condition at northwest medical center in springdale .,"at northwest medical center of washington county in springdale , one child is in serious condition .",3.8
test,""" i started crying and yelling at him , ' what do you mean , what are you saying , why did you lie to me ? ' ""","gulping for air , i started crying and yelling at him , ' what do you mean ?",3.8
test,"sean harrigan , president of the california public employees ' retirement system , also suggested paring down the nyse 's 27-member board , changing its composition and making it more accountable .","sean harrigan , president of the california public employees ' retirement system , also suggested paring the nyse 's 27-member board and allotting more seats to investors outside the securities industry .",3.4
test,"also missing is al larsen , 31 , of fort worth , texas , who was in another vehicle swept off the turnpike .","the other victim recovered tuesday morning was al larsen , 31 , of fort worth , texas .",2.2
test,british-based glaxosmithkline plc said earlier this year it would cut off supplies to canadian drugstores that ship to the united states .,"glaxosmithkline , the uk drugmaker , has said it would cut off supplies to canadian stores shipping drugs to the us .",4.2
test,the festival kicked off yesterday one day after the competition commission delivered its final verdict to the government on the proposed £ 4.1 billion merger .,"the competition commission delivered its verdict yesterday on the proposed merger of the two big itv players , carlton and granada .",2.818
test,the swedish central bank was also meeting on wednesday and widely expected to announce a cut on thursday .,"the swedish central bank , also meeting on wednesday , is widely expected to announce a cut on thursday of as much as half a percentage point .",3.2
test,it was the third time in four years that wildfires forced the park to close .,"for the third time in four years wildfires closed mesa verde national park , the country ’ s only park dedicated to ancient ruins .",3.0
test,"gm , the world 's largest automaker , has 115,000 active uaw workers and another 340,000 retirees and spouses .","they cover more than 300,000 uaw workers and 500,000 retirees and spouses .",2.4
test,"his 1996 chevrolet tahoe was found abandoned in a virginia beach , va . , parking lot june 25 .","his sport utility vehicle was found june 25 , abandoned without its license plates in virginia beach , va .",3.6
test,she said he persisted and she eventually allowed him to fix her bike while she sat in the front seat of his car .,"she said she eventually allowed him to fix her bike while she sat in his car , and they chatted .",3.875
test,heatley was sixth in the league in goals last season with 41 and ninth in points with 89 .,heatley led atlanta in scoring last season with a team-record 41 goals and 48 assists .,3.0
test,"daniels said he doesn 't know what bush will have to say about him at tonight 's $ 2,000-per-person presidential fund-raiser .","daniels said he doesn 't know what bush will say at tonight 's $ 2,000-per-person reception to raise funds for his presidential re-election bid .",4.4
test,"a three-judge panel of the 11th u.s. circuit court of appeals ruled late friday that the small size , limited use and secular purpose make the image legitimate .",a three-judge panel of the 8th u.s. circuit court of appeals in st. louis overturned a ruling issued last year that supported the ordinance .,2.8
test,""" tony 's not feeling well , "" spurs coach gregg popovich said .","we 're thrilled to be up 3-2 , ' ' coach gregg popovich said wednesday .",1.6
test,electronic data systems corp. thursday said the securities and exchange commission has asked the company for documents related to its large contract with the u.s. navy .,"in a regulatory filing , eds said the sec had asked for information related to its troubled it outsourcing contract with the us navy .",3.2
test,the company claims it 's the largest single apple var xserve sale to date .,the company claimed it is the largest sale of xserves by an apple retailer .,5.0
test,only 29 families of frogs are known and most were identified and described in the mid-1800s and the last in 1926 .,"only 29 families of frogs are known , most of which were named by the mid-1800s .",3.8
test,"officials at brandeis said this was an "" extremely heartrending "" time for the campus .",""" this is an extremely heartrending time for the entire brandeis university community .",4.4
test,north american markets finished mixed in directionless trading monday as earnings season begins to slow and economic indicators move into the spotlight .,"north american markets grabbed early gains monday morning , as earnings season begins to slow and economic indicators take the spotlight .",3.8
test,"as well as the dolphin scheme , the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls .",internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls .,3.8
test,"the value will total about $ 124 million , including convertible securities , according to corel .","including convertible securities , the total estimated value of the deal is $ 124 million , according to corel .",5.0
test,"the standard & poor 's 500 stock index ended the quarter up 120 points , a gain of 14 percent , the best performance for that broad market benchmark since 1998 .","the standard and poor 's 500-stock index , a broad collection of equities representing leading companies , finished its best quarter yesterday since the last three months of 1998 .",3.2
test,the next court session will be when the three-judge tribunal announces its verdict in mid-february .,the court 's three-judge tribunal was expected to give its verdict next february .,4.2
test,"he started in the 1983 super bowl , which miami lost 27-17 to washington .","he played four seasons in miami , including the dolphins ' 27-17 loss to washington in the super bowl .",3.0
test,the consensus among wall street analysts was for a loss of 28 cents a share .,analysts surveyed by first call were expecting sales of $ 723 million and a loss of 28 cents a share .,3.0
test,""" i know of no pressure , "" said mr. feith , the under secretary of defense for policy .",""" i know of nobody who pressured anybody , "" douglas feith , undersecretary of defense for policy , said at a pentagon briefing .",3.8
test,nterprise linux services is expected to be available before then end of this year .,beta versions of nterprise linux services are expected to be available on certain hp proliant servers in july .,2.667
test,"excluding one-time items , the company enjoyed a profit of 6 cents a share .","excluding one-time items , it expects profit of 11 cents to 15 cents a share .",2.333
test,""" but i do question the motives of a deskbound president who assumes the garb of a warrior for the purposes of a speech . ""","byrd , speaking from the senate floor , said he questioned "" the motives of a deskbound president who assumes the garb of a warrior for purposes of a speech . """,3.0
test,"the broader standard & poor 's 500 index .spx fell 3 points , or 0.30 percent , to 995 .","the technology-laced nasdaq composite index < .ixic > added 1.92 points , or 0.12 percent , at 1,647.94 .",1.333
test,"instead , tickets for the jersey jam went on sale last night through ticketmaster .","tickets , available through ticketmaster , went on sale yesterday .",3.8
test,"earlier on monday , grant thornton spa repeated previous statements that it was "" a victim of fraudulent action "" .",grant thornton claims that it too was the “ victim ” of a fraud .,3.4
test,peter lyman and hal varian of berkeley 's school of information management and systems say that information production has increased by 30 percent each year between 1999 and 2002 .,"that task appealed to two masters of the megabyte , peter lyman and hal varian , professors at the university of california-berkeley 's school of information management and systems .",2.0
test,""" my judgment is 95 percent of that information should be declassified , become uncensored , so the american people would know . ""","my judgment is 95 percent of that information could be declassified , become uncensored so the american people would know , "" mr. shelby said on nbc 's "" meet the press . """,3.4
test,the researchers found only empty cavities and scar tissue where the tumors had been .,"no tumors were detected ; rather , empty cavities and scar tissue were found in their place .",4.0
test,"washington , however , said more was needed to prevent complaints being filed in the first place .","but the us insisted it wanted more done to prevent complaints being filed in the first place , preferably by repealing the entire law .",2.8
test,"after 26 hours of surgery and a year of anticipation , the boys were separated sunday at children 's medical center of dallas .","two-year-old egyptian twin boys , born with their heads conjoined , have been separated after 26 hours of surgery at the children 's medical centre in dallas .",3.2
test,pines said he would convene the relevant party bodies within 10 days to discuss whether new elections would be held or whether a temporary leader would be appointed .,mitzna and party secretary ophir pines agreed to convene party organizations within 10 days to discuss whether new primaries would be held or a temporary leader appointed .,3.6
test,""" she was crying and scared , ' said isa yasin , the owner of the store .",""" she was crying and she was really scared , "" said yasin .",3.8
test,"the euro soared to us $ 1.1914 in asian trading , before slipping back slightly to us $ 1.1895 as trading opened in europe .","the euro soared to $ 1.1914 in asian trading , before slipping back to $ 1.1884 in late european trading , up from $ 1.1857 late monday .",3.6
test,"abbas told the summit he would end the "" armed intefadeh , "" renounced "" terrorism against the israelis wherever they might be "" and alluded to the disarming of militants .","at wednesday 's summit , abbas pledged to end the "" armed intefadeh , "" renounced "" terrorism against the israelis wherever they might be "" and alluded to the disarming of militants .",4.2
test,"the civilian unemployment rate improved marginally last month -- slipping to 6.1 percent -- even as companies slashed payrolls by 93,000 .","the civilian unemployment rate improved marginally last month _ sliding down to 6.1 percent _ as companies slashed payrolls by 93,000 amid continuing mixed signals about the nation 's economic health .",4.0
test,moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued .,professor moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene .,4.75
test,""" frank quattrone is innocent , "" keker said in a statement .",quattrone lawyer john w. keker said his client is innocent .,3.75
test,"cmdr. rod gibbons , an academy spokesman , said , "" the academy is shocked and saddened .",naval academy spokesman cmdr. rod gibbons said : ``today 's announcement came as a surprise .,3.25
test,the compensation committee will prohibit securities industry directors from sitting on it .,the exchange also said its five-person compensation committee will consist only of directors from outside the securities industry .,3.533
test,"shares of lendingtree rose $ 6.21 , or 42 percent , to $ 20.90 after hitting $ 21.36 earlier .","lendingtree shares rose 43 percent , or $ 6.31 , to $ 21 , more than doubling in the last two months .",2.75
test,"last week , his lawyers asked warner to grant clemency under conditions that would have lead to a new sentencing hearing .","last week , his lawyers asked gov. mark r. warner to grant clemency , but the governor declined to intervene .",2.5
test,q : can i buy coverage for prescription drugs right away ?,congress has added a new benefit - an option to buy insurance coverage for prescription drugs .,1.25
test,""" i think it should have been released years ago , "" said brian rohrbough , whose son , daniel , was killed at columbine .","brian rohrbough , whose son , daniel , was killed at columbine , said the tape raises disturbing issues .",1.75
test,"cia director george tenet said the two men were "" defined by dedication and courage . """,""" [ they ] were defined by dedication and courage , "" said the cia 's director george tenet .",4.25
test,"shares of mandalay closed down eight cents to $ 29.42 , before the earnings were announced .",shares of mandalay closed down 8 cents at $ 29.42 thursday .,4.0
test,"but software license revenues , a measure financial analysts watch closely , decreased 21 percent to $ 107.6 million .","license sales , a key measure of demand , fell 21 percent to $ 107.6 million .",5.0
test,"dotson , 21 , was arrested and charged on july 21 after reportedly telling authorities he shot dennehy after dennehy tried to shoot him .","dotson was arrested july 21 after telling fbi agents he shot dennehy when dennehy tried to shoot him , according to the arrest warrant affidavit .",4.25
test,prosecutors contended that mr. durst had plotted the murder to assume mr. black 's identity .,prosecutors maintained that durst murdered black to try to assume black 's identity .,4.75
test,that objection was cited by peoplesoft 's board in rejecting oracle 's offer .,peoplesoft 's board has recommended stockholders reject the offer .,2.75
test,several black democratic leaders were attempting to arrange a meeting with dnc chairman terry mcauliffe to discuss the layoffs .,black democratic leaders were trying to arrange a meeting with democratic national committee chairman terry mcauliffe to discuss the layoffs of 10 minority staffers at party headquarters .,3.25
test,""" these are dark days for our industry , "" giovanni bisignani , director general of the geneva-based organization , said in a statement .",""" these are dark days for our industry , "" the geneva-based international air transport association 's director-general giovanni bisignani said .",3.5
test,"the seven other nations in the initiative are britain , germany , italy , the netherlands , poland , portugal and spain .","other nations involved in the psi include germany , italy , the netherlands , poland , portugal , spain and britain .",3.6
test,"the dollar was at 116.92 yen against the yen , flat on the session , and at 1.2891 against the swiss franc , also flat .","the dollar was at 116.78 yen jpy = , virtually flat on the session , and at 1.2871 against the swiss franc chf = , down 0.1 percent .",3.2
test,germans account for more than 40 percent of foreign visitors coming to italy .,germans represent more than a quarter of all foreign visitors to italy and 40 percent of hotel bookings .,3.4
test,"also in mosul , rebel gunmen on friday assassinated a sunni muslim tribal leader who backed the coalition .","near a mosque in the northern town of mosul , rebel gunmen also assassinated a sunni muslim tribal leader who backed the coalition .",4.6
test,"the average american makes four trips a day , 45 percent for shopping or errands .",nearly half - 45 percent - are for shopping or running errands .,3.333
test,"mr. bush had sought to store his papers in his father 's presidential library , where they would have stayed secret for a half-century .","in texas , public watchdog groups opposed mr. bush 's efforts to house his papers at his father 's presidential library , where they would have remained secret for a half-century .",3.333
test,"in 1999 , the building 's owners , the port authority of new york and new jersey , issued guidelines to upgrade the fireproofing to a thickness of 1 { inches .",the nist discovered that in 1999 the port authority issued guidelines to upgrade the fireproofing to a thickness of 1 1 / 2 inches .,3.0
test,"it 's also a strategic win for overture , given that knight ridder had the option of signing on google 's services .","it 's also a strategic win for overture , given that knight ridder had been using google 's advertising services .",4.0
test,"in the weeks leading up to the execution , several florida officials received anonymous threatening letters .","several florida officials connected to the case have received threatening letters , accompanied by rifle bullets .",3.5
test,"this integrates with rational purifyplus and allows developers to work in supported versions of java , visual c # and visual basic .net .","ibm said the rational products were also integrated with rational purifyplus , which allows developers to work in java , visual c # and visualbasic .net .",3.5
test,"freeman 's civil hearing may be , on the surface , about a driver 's license .",freeman said not having a driver license has been a burden .,1.75
test,protesters had been calling for an end to the country 's hard-line establishment and for supreme leader khamenei 's death .,"the protesters denounced the country 's supreme leader , hard-liner ayatollah ali khamenei .",3.0
test,hoy confirmed the woman 's age tuesday and said she has left on vacation with her family .,"hoy confirmed the woman 's age tuesday and said she was on vacation with her family , but is expected to return this week .",3.4
test,"boston the catholic archdiocese in boston has offered $ 55 million to settle more than 500 clergy sex abuse lawsuits , according to a document obtained by the associated press .",the american roman catholic archdiocese of boston has offered $ 55 million to settle more than 500 sex abuse lawsuits involving priests .,3.6
test,"the 3 { hours of recordings include conversations between police , firefighters and other emergency workers , as well as media inquiries .","among them are conversations between police , firefighters and other emergency workers , as well as media inquiries .",3.6
test,"the 30-year bond us30yt = rr jumped 20 / 32 , taking its yield to 4.14 percent from 4.18 percent .",the 30-year bond us30yt = rr dipped 14 / 32 for a yield of 4.26 percent from 4.23 percent .,2.0
test,"but he is the only candidate who has won national labor endorsements so far , picking up his 11th union on tuesday when the united steelworkers of america endorsed him .","but he is the only candidate who has won national labor endorsements so far , picking up his 11th on tuesday .",3.6
test,"oracle shares fell 27 cents , or 2 percent , to $ 13.09 .","oracle shares also rose on the news , up 15 cents to $ 13.51 on the nasdaq .",1.6
test,"north american futures pointed to a sub-par start to trading on tuesday , with investors ready to get their first taste of quarterly earnings .","north american stock markets got off to a slow start tuesday , with investors ready to get their first taste of quarterly earnings .",4.6
test,"another million barrels , bought by spanish refiner cepsa sa , was to be loaded onto a spanish tanker , the sandra tapias .","a spanish tanker , sandra tapias , was to be loaded with another million barrels , bought by spanish refiner cepsa sa , in the afternoon .",4.4
test,"singapore is already the united states ' 12th-largest trading partner , with two-way trade totaling more than $ 34 billion .","although a small city-state , singapore is the 12th-largest trading partner of the united states , with trade volume of $ 33.4 billion last year .",3.8
test,"the dollar was last at $ 1.1149 to the euro , close to its strongest level since april 30 .","the dollar pushed as high as $ 1.1115 to the euro in early trade , extending tuesday 's one percent rally to hit its strongest level since april 30 .",2.6
